Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
591,Thomas Starr King Middle School Film and Media Magnet,6-8,Los Angeles Unified,1931,64.6,73.3,25
592,Berrendos Middle,6-8,Antelope Elementary,237,39.7,73.3,21.5
593,Bonita Vista Middle,7-8,Sweetwater Union High,1188,39.1,73.3,23.7
594,Southside Elementary,K-8,Southside Elementary,241,34.4,73.2,30.1
595,Circle of Independent Learning,K-12,Fremont Unified,304,16.5,73.2,38
596,CORE Butte Charter,K-12,Butte County Office Of Education,693,42.4,73.1,19.8
597,Palm Desert Charter Middle,6-8,Desert Sands Unified,1411,45.0,73.1,26.6
598,Quincy Junior/Senior High,7-12,Plumas Unified,316,22.2,73.1,16.6
599,Mueller Charter (Robert L.),K-12,Chula Vista Elementary,1297,84.2,73.1,23.1
600,Lassen View Elementary,K-8,Lassen View Union Elementary,317,49.8,73.1,24.3
601,Forest Ranch Charter,K-8,Chico Unified,136,40.4,73.1,17
602,Bayside S.T.E.M. ACADEMY,6-8,San Mateo-Foster City,656,43.1,73.1,20.5
603,Creekview Ranch,K-8,Dry Creek Joint Elementary,724,32.9,73,20.6
604,Chico Country Day,K-8,Chico Unified,559,20.4,72.9,22.3
605,Carlton Hills Elementary,K-8,Santee,576,44.6,72.9,25
606,Pleasant Grove Middle,6-8,Rescue Union Elementary,620,20.2,72.9,21.3
607,Chicago Park Elementary,K-8,Chicago Park Elementary,129,42.6,72.9,21.5
608,Lammersville Elementary,K-8,Lammersville Joint Unified,200,29.0,72.8,25
609,Borel Middle,6-8,San Mateo-Foster City,1016,31.1,72.8,22
610,Edwin Markham Middle,6-8,Placerville Union Elementary,371,53.1,72.8,20.6
611,Ophir Elementary,K-8,Loomis Union Elementary,228,30.7,72.7,22.8
612,Manzanita Elementary,K-8,Manzanita Elementary,276,39.5,72.7,21.2
613,Sequoia Middle,6-8,Mt. Diablo Unified,932,33.9,72.6,27.4
614,Discovery Charter II,K-8,Santa Clara County Office Of Education,444,7.7,72.5,21.1
615,Castaic Middle,7-8,Castaic Union,582,26.8,72.4,23.2
616,Jefferson Middle,6-8,San Gabriel Unified,1212,53.6,72.3,24.2
617,Oak Park Independent,K-12,Oak Park Unified,222,4.5,72.2,31.7
618,Aspire Ollin University Preparatory Academy,6-12,Los Angeles County Office Of Education,578,92.7,72.2,25.1
619,Woodland Park Middle,6-8,San Marcos Unified,1412,41.8,72.2,28.2
620,Los Coches Creek Middle,6-8,Cajon Valley Union,630,44.1,72.2,21.7
621,Edna Hill Middle,6-8,Brentwood Union Elementary,937,34.3,72.2,25.3
622,Gaspar De Portola Middle,6-8,Los Angeles Unified,1902,53.6,72.1,29.7
623,Island Elementary,K-8,Island Union Elementary,375,36.8,72.1,22
624,Leonardo Da Vinci,K-8,Sacramento City Unified,835,37.1,72,26
625,Sycamore Valley Academy,K-8,Visalia Unified,350,37.4,72,26.9
626,William B. Bristow Middle,6-8,Brentwood Union Elementary,1164,22.7,71.9,24.7
627,Robbins Elementary,K-8,Winship-Robbins,150,82.7,71.9,16.6
628,John Adams Middle,6-8,Santa Monica-Malibu Unified,1065,43.3,71.8,22.1
629,Language Academy,K-8,San Diego Unified,986,45.6,71.7,24
630,Westlake Charter,K-8,Natomas Unified,666,21.0,71.7,23.7
631,River Charter,6-8,Napa Valley Unified,365,28.5,71.7,22.8
632,Cope Middle,6-8,Redlands Unified,1334,55.4,71.7,27.2
633,Raymond-Knowles Elementary,K-8,Raymond-Knowles Union Elementary,90,61.1,71.6,22.5
634,Julian Junior High,6-8,Julian Union Elementary,101,44.6,71.6,16.8
635,Campus Canyon Elementary,K-8,Moorpark Unified,686,38.8,71.6,22.1
636,Warner Middle,6-8,Westminster,1102,78.7,71.6,24.4
637,Parkway Middle,7-8,La Mesa-Spring Valley,667,37.0,71.6,25.6
638,Yuba Environmental Science Charter Academy,K-8,Yuba County Office Of Education,91,81.3,71.5,22.7
639,New Brighton Middle,6-8,Soquel Union Elementary,731,33.0,71.4,22.8
640,Santa Margarita Elementary,K-8,Oceanside Unified,670,43.3,71.3,20.9
641,Citrus Hills Intermediate,7-8,Corona-Norco Unified,1230,28.4,71.2,24.6
642,Ripon Elementary,K-8,Ripon Unified,449,46.8,71.2,24.9
643,East Bay Innovation Academy,6-12,Oakland Unified,344,15.4,71.2,26.4
644,North Cow Creek Elementary,K-8,North Cow Creek Elementary,238,24.8,71.2,21.6
645,Kenilworth Junior High,7-8,Petaluma Joint Union High,884,43.2,71.1,21.5
646,Adelante Dual Language Academy,K-8,Alum Rock Union Elementary,586,65.5,71.1,22.5
647,Hillside Middle,6-8,Simi Valley Unified,932,34.8,71,23.3
648,Elizabeth Ustach Middle,6-8,Sylvan Union Elementary,1035,40.3,71,23
649,Livermore Valley Charter,K-8,Livermore Valley Joint Unified,1109,4.9,71,20.5
650,Rio Vista School Of Applied Learning,K-8,Apple Valley Unified,1063,42.8,70.9,26.5
651,Multicultural Learning Center,K-8,Los Angeles Unified,403,55.3,70.9,22.3
652,Eleanor J. Toll Middle,6-8,Glendale Unified,1241,61.6,70.9,25.3
653,Wangenheim Middle,6-8,San Diego Unified,900,54.4,70.8,23.6
654,Andrew N. Christensen Middle,6-8,Livermore Valley Joint Unified,615,20.0,70.7,23.6
655,John Glenn Middle School of International Studies,6-8,Desert Sands Unified,1470,49.9,70.6,27.2
656,East Whittier Middle,6-8,East Whittier City Elementary,1259,52.6,70.6,27.3
657,Thompson Middle,6-8,Murrieta Valley Unified,1649,27.4,70.5,28.9
658,Anderson Elementary,K-7,Compton Unified,480,88.5,70.5,25.2
659,Ranchos Middle,7-8,Golden Valley Unified,292,39.0,70.5,19.4
660,San Diego Cooperative Charter,K-8,San Diego Unified,457,27.8,70.5,21.7
