Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
949,Patwin Elementary,K-6,Davis Joint Unified,404,26.7,84.1,25.2
950,Melrose Avenue Elementary,K-6,Los Angeles Unified,337,57.6,84.1,21
951,C. W. Dillard Elementary,K-6,Elk Grove Unified,449,24.1,84.1,23.6
952,Franklin Elementary,K-8,Franklin Elementary,477,28.1,84.1,23.8
953,Rio Secondary Elementary,K-8,Santee,1003,31.7,84.1,26.3
954,Horace Mann Elementary,K-8,Beverly Hills Unified,500,11.8,84.1,14.2
955,Thomas Paine Elementary,K-6,Garden Grove Unified,486,66.7,84.1,24.3
956,Hurley Elementary,K-6,Visalia Unified,647,29.7,84,29.4
957,Joaquin Miller Elementary,K-5,Burbank Unified,746,43.0,84,24.8
958,Martha Baldwin Elementary,K-8,Alhambra Unified,1121,65.3,84,26.6
959,Chaparral Elementary,K-6,Chino Valley Unified,616,48.5,84,23.6
960,Hage Elementary,K-5,San Diego Unified,683,36.2,84,27.3
961,Cornerstone Academy Preparatory,K-6,Franklin-McKinley Elementary,456,69.5,83.9,28.5
962,Temecula Valley Charter,K-8,Temecula Valley Unified,516,20.9,83.9,25.8
963,Repetto Elementary,K-8,Alhambra Unified,790,55.1,83.9,25.4
964,Sonoma Mountain Elementary,K-6,Old Adobe Union,469,15.6,83.9,29.3
965,Marjorie H. Tobias Elementary,K-5,Jefferson Elementary,409,25.4,83.8,25.5
966,Greentree Elementary,K-6,Irvine Unified,496,20.4,83.8,27.5
967,McCabe Elementary,K-8,McCabe Union Elementary,1364,36.4,83.7,23.9
968,Sixth Street Prep,K-6,Victor Elementary,241,80.5,83.7,24.1
969,Heritage,K-8,Snowline Joint Unified,510,29.4,83.7,26.8
970,Bernardo Elementary,K-5,Escondido Union,527,26.8,83.7,22.9
971,Nye Elementary,K-5,San Diego Unified,471,79.4,83.7,22.4
972,One Hundred Fifty-Sixth Street Elementary,K-6,Los Angeles Unified,368,59.5,83.7,21.6
973,Kenwood Elementary,K-6,Kenwood,141,12.8,83.7,17.6
974,Banyan Elementary,K-5,Conejo Valley Unified,456,25.4,83.6,24
975,Deer Creek Elementary,K-4,Nevada City Elementary,417,33.6,83.6,23.1
976,Olympic View Elementary,K-6,Chula Vista Elementary,804,33.5,83.6,25.1
977,Birch Lane Elementary,K-6,Davis Joint Unified,610,22.8,83.5,25.4
978,Los Olivos Elementary,K-8,Los Olivos Elementary,172,17.4,83.5,14.3
979,Lake Hills Elementary,K-5,Alvord Unified,870,42.4,83.5,25.5
980,Jessie Hayden Elementary,K-5,Westminster,838,77.3,83.5,24.6
981,Suisun Valley Elementary,K-8,Fairfield-Suisun Unified,518,37.3,83.5,28.7
982,Perdew Elementary,K-5,Etiwanda Elementary,820,43.5,83.4,25.6
983,Loma Portal Elementary,K-4,San Diego Unified,402,35.1,83.4,23.6
984,Discovery Elementary,K-5,San Marcos Unified,1041,21.9,83.4,27.3
985,Riverview Elementary,1-5,Lakeside Union Elementary,622,22.4,83.4,27
986,American Indian Public Charter School II,K-8,Oakland Unified,641,76.8,83.4,24.6
987,Sierra Elementary,K-6,Rocklin Unified,540,10.7,83.3,23.4
