county,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06021""","""Glenn""",23.00,28029.00,9497.00,840925.22,70,84,54,34,43,25,36,41,29,9.42,5.61,1.87,2,2,23475,21115,23972,0,0,0,14153,12925,15414,9645,8866,10814,4503,4050,4597,6,8,3,5,7,3,1.3,0.9,0.60,0.01,2312,73,2056,83,97,4,5353,1126,1217,663,62,38
"""06023""","""Humboldt""",107.00,135034.00,53036.00,2283500.58,68,79,55,36,45,28,32,35,27,8.51,11.09,1.71,2,2,20968,18899,22313,2,2,2,13370,11654,14376,9331,8010,10081,4021,3625,4279,18,20,16,16,18,15,1.4,3.2,0.49,0.02,4539,68,4987,82,92,5,5253,1269,1386,927,55,45
"""06025""","""Imperial""",96.00,178206.00,46452.00,2673030.06,68,79,52,32,40,25,36,39,27,10.00,17.13,1.84,2,2,24322,21848,23207,0,0,0,14666,12891,14724,10002,8700,10273,4664,4191,4450,0,0,0,0,0,0,1.6,1.1,0.91,0.02,5509,65,6896,86,47,3,5869,1105,1167,808,55,45
"""06027""","""Inyo""",16.00,18373.00,7957.00,6515789.02,65,77,58,34,43,29,31,35,29,8.47,3.76,1.88,2,2,21907,19563,24047,1,1,1,14440,12717,15556,10239,8964,10943,4201,3753,4611,1,1,1,1,1,1,1.6,1.4,0.77,0.00,1802,60,2143,82,353,1,6394,1305,1499,808,64,36
"""06029""","""Kern""",456.00,865736.00,259700.00,5204460.62,60,71,54,30,38,27,31,33,27,9.34,19.46,1.95,2,2,22992,20606,22142,1,1,1,15066,13096,14756,10631,9116,10488,4409,3953,4246,26,27,22,31,32,26,2.6,0.3,1.26,0.05,12090,72,13655,90,38,10,3625,1228,1223,969,57,43
"""06031""","""Kings""",81.00,150998.00,41554.00,889228.30,62,72,53,30,38,26,31,34,27,9.46,15.88,1.85,2,2,22814,20443,22313,1,1,1,14485,12676,14556,10092,8736,10266,4375,3921,4279,19,19,12,23,23,14,2.8,0.8,1.80,0.05,7107,71,6048,87,41,8,3939,1177,1162,924,51,49
"""06033""","""Lake""",48.00,64158.00,26993.00,804151.44,75,90,54,40,51,27,35,40,28,8.29,4.66,1.67,2,2,20205,18125,23466,2,2,2,12543,11378,15120,8617,7846,10580,3876,3477,4500,50,55,39,31,33,24,2.1,1.0,0.41,0.03,2580,66,1898,82,77,9,4120,1199,1231,940,63,37
"""06035""","""Lassen""",25.00,32645.00,9707.00,2906357.24,57,68,58,30,38,29,27,31,29,8.63,1.91,1.81,2,2,20038,17964,24191,3,3,2,13710,12582,15739,9848,9117,11083,3843,3445,4639,19,20,17,19,20,17,1.0,1.9,0.34,0.00,959,74,1012,78,276,2,5843,1289,1468,931,65,35
"""06037""","""Los Angeles""",6421.00,10038388.00,3263069.00,2597182.32,57,67,61,35,44,39,22,23,22,6.83,45.49,1.70,2,2,16856,14779,15582,13,13,13,13237,11336,11909,9688,8198,8613,3279,2873,3030,270,265,266,320,313,315,3.2,5.0,3.05,1.26,59230,50,82082,94,11,70,3066,1771,1889,1320,46,54
"""06039""","""Madera""",80.00,153187.00,43159.00,1367741.49,67,79,57,34,42,28,34,37,29,9.78,10.01,1.97,2,2,23929,21484,24071,0,1,0,15320,13505,15793,10726,9376,11174,4589,4121,4616,6,7,2,7,8,3,1.3,0.1,0.57,0.03,5128,81,5118,87,140,6,5327,1265,1280,880,61,39
"""06041""","""Marin""",174.00,258349.00,103670.00,333114.90,56,67,82,38,47,57,18,20,25,8.27,23.55,1.88,2,2,21304,18774,20572,4,4,4,14896,13282,13550,10760,9639,9556,4087,3601,3945,49,41,49,24,20,24,2.4,5.1,1.12,0.31,15454,62,19050,89,30,22,4837,2579,2715,1682,62,38
"""06043""","""Mariposa""",17.00,17789.00,7345.00,927243.75,64,75,59,33,41,29,33,36,31,9.41,0.25,2.05,2,2,22916,20494,25518,0,1,0,15567,13812,16851,11164,9872,11949,4394,3931,4893,9,9,8,7,8,7,1.6,0.1,0.66,0.01,1175,72,1159,82,410,4,5099,1296,1341,812,71,29
