,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
235,Center Joint Unified,45.15,77.9,45.625,56.225,51.5,4.725
142,Blochman Union Elementary,55.55,55.55,56.73333333,55.94444444,59.7,-3.755555556
107,Fort Bragg Unified,61.2,61.2,44.9,55.76666667,,55.76666667
236,Ojai Unified,45.05,76.1,46.1,55.75,50.6,5.15
141,Natomas Unified,55.71666667,73.575,37.64,55.64388889,44.8,10.84388889
208,Vista Unified,48.25555556,73.1,45.28888889,55.54814815,47.4,8.148148148
75,Southern Humboldt Joint Unified,69,69,28.06666667,55.35555556,41.4,13.95555556
231,Upland Unified,45.5,70.8,49.58,55.29333333,51.8,3.493333333
159,Riverside Unified,53.12727273,67.8,44.75666667,55.2279798,49.5,5.727979798
200,Napa Valley Unified,49.26666667,65.775,50.285,55.10888889,52.4,2.708888889
202,Ravendale-Termo Elementary,49.1,72.3,43.5,54.96666667,,54.96666667
270,Mt. Diablo Unified,41.55,70.44,52.90689655,54.96563218,51,3.965632184
118,Trinity Alps Unified,59.7,59.7,45.1,54.83333333,,54.83333333
333,Yucaipa-Calimesa Joint Unified,34.06666667,78.8,51.1375,54.66805556,54.3,0.368055556
224,Hacienda La Puente Unified,46.96666667,65.275,51.6826087,54.64142512,54,0.641425121
355,Tulare County Office Of Education,29.75,88.9,44.4,54.35,36.2,18.15
117,Calistoga Joint Unified,60,60,42.6,54.2,50.6,3.6
98,El Tejon Unified,62.5,62.5,37.3,54.1,52,2.1
227,Paso Robles Joint Unified,46.46666667,64.95,50.66666667,54.02777778,51.6,2.427777778
150,Santa Barbara Unified,54,64.55,42.56923077,53.70641026,50.7,3.006410256
244,Atascadero Unified,44.06666667,61.15,55.78571429,53.66746032,56.5,-2.832539683
96,Anderson Valley Unified,63.1,63.1,34.4,53.53333333,55.9,-2.366666667
213,Desert Sands Unified,47.91428571,60.98,50.99473684,53.29634085,48.8,4.496340852
219,Bellflower Unified,47.53333333,64.75,47.36363636,53.21565657,50.3,2.915656566
100,Aromas/San Juan Unified,62,62,35.15,53.05,45.8,7.25
