,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017)
66,Lakeside Union Elementary,69.85,69.85,49.27142857142856,62.99047619047618,63.6
67,Lakeside Union Elementary,69.85,69.85,49.27142857142856,62.99047619047618,28.300000000000004
71,Hart-Ransom Union Elementary,69.5,69.5,49.9,62.96666666666667,58.5
72,Cabrillo Unified,69.4,69.4,49.85000000000001,62.88333333333335,56.89999999999999
203,San Marcos Unified,48.779999999999994,69.3,70.4090909090909,62.82969696969696,66.2
216,Santa Clara County Office Of Education,47.82000000000001,74.26666666666667,65.17272727272727,62.41979797979798,61.7
40,Calipatria Unified,78.0,78.0,30.4,62.13333333333333,49.5
119,Simi Valley Unified,59.64,71.125,55.62222222222222,62.12907407407406,59.20000000000001
121,Lucia Mar Unified,59.5,73.89999999999999,52.83636363636364,62.07878787878787,57.9
309,Orange County Department Of Education,37.42,77.15,71.3,61.95666666666667,43.6
30,Laytonville Unified,82.5,82.5,20.0,61.666666666666664,
103,San Lorenzo Valley Unified,61.80000000000001,61.80000000000001,60.825,61.475,65.1
58,Winters Joint Unified,71.9,71.9,40.4,61.400000000000006,46.5
86,Mesa Union Elementary,65.4,65.4,53.099999999999994,61.300000000000004,66.0
162,Elk Grove Unified,52.88571428571429,71.62222222222222,59.382926829268285,61.29695444573493,58.5
192,Downey Unified,50.0,70.1,63.37777777777777,61.15925925925925,60.4
81,Holtville Unified,66.2,66.2,51.05,61.15,61.7
149,Morgan Hill Unified,54.03333333333333,74.7,54.355555555555554,61.02962962962963,60.0
85,Hughson Unified,65.6,65.6,51.8,61.0,
191,Chino Valley Unified,50.06666666666667,69.42500000000001,63.460869565217386,60.98417874396136,62.8
63,Silver Valley Unified,71.1,71.1,40.5,60.9,51.1
44,Camptonville Elementary,75.8,75.8,30.2,60.599999999999994,
61,William S. Hart Union High,71.40769230769232,80.7818181818182,28.8,60.329836829836836,70.1
129,Geyserville Unified,56.7,56.7,67.4,60.26666666666667,52.900000000000006
135,Orange Unified,56.000000000000014,67.67500000000001,56.27037037037038,59.9817901234568,57.8
215,Ramona City Unified,47.9,78.3,53.666666666666664,59.95555555555555,57.8
151,Amador County Unified,54.0,76.2,49.43333333333333,59.87777777777777,51.0
266,Martinez Unified,42.03333333333333,77.8,59.425000000000004,59.75277777777777,55.3
39,La Honda-Pescadero Unified,78.1,78.1,22.8,59.666666666666664,53.1
48,Colusa Unified,74.5,74.5,29.1,59.36666666666667,50.8
160,Covina-Valley Unified,53.025,67.13333333333334,57.620000000000005,59.25944444444445,58.599999999999994
182,Long Beach Unified,50.792307692307695,70.3625,56.35185185185184,59.168886514719844,57.4
206,Contra Costa County Office Of Education,48.675000000000004,87.9,40.6,59.05833333333334,
62,Escalon Unified,71.3,71.3,34.08,58.89333333333334,40.6
198,Monrovia Unified,49.73333333333333,67.1,59.739999999999995,58.85777777777778,61.7
109,Keyes Union,61.0,61.0,54.0,58.666666666666664,58.599999999999994
93,Healdsburg Unified,63.3,63.3,49.400000000000006,58.666666666666664,55.00000000000001
163,West Covina Unified,52.825,65.5,57.088888888888896,58.471296296296295,59.0
69,Roseland,69.7,69.7,36.0,58.46666666666667,47.6
252,Imperial Unified,43.2,76.2,54.7,58.03333333333334,54.79999999999999
125,Yosemite Unified,57.5,73.0,43.56666666666666,58.02222222222222,52.5
189,San Jose Unified,50.25,68.63333333333334,53.8037037037037,57.562345679012346,54.1
143,Kings Canyon Joint Unified,55.48333333333333,75.64999999999999,40.85,57.327777777777776,51.800000000000004
148,Snowline Joint Unified,54.199999999999996,75.0,42.36666666666667,57.18888888888889,51.9
250,Sanger Unified,43.675,75.1,52.53333333333332,57.10277777777777,58.20000000000001
82,Plumas Unified,65.96,65.96,38.88000000000001,56.93333333333334,54.0
184,Sweetwater Union High,50.49999999999999,61.809090909090905,58.400000000000006,56.9030303030303,49.3
101,River Delta Joint Unified,61.9,61.9,46.879999999999995,56.89333333333334,49.7
369,Ventura County Office Of Education,26.724999999999998,67.2,76.50000000000001,56.80833333333334,49.7
313,New Haven Unified,36.699999999999996,80.5,53.14285714285715,56.780952380952385,50.1
156,Rowland Unified,53.275,67.66666666666667,49.30666666666666,56.74944444444444,53.79999999999999
152,Lodi Unified,53.74000000000001,75.10000000000001,41.37142857142856,56.737142857142864,45.0
90,Willits Unified,64.19999999999999,64.19999999999999,41.7,56.69999999999999,46.0
97,Muroc Joint Unified,62.75,62.75,44.55,56.68333333333334,47.7
240,Sierra Sands Unified,44.45,76.2,49.36666666666667,56.672222222222224,52.1
271,Sierra Unified,41.300000000000004,74.4,54.0,56.56666666666667,46.6
235,Center Joint Unified,45.150000000000006,77.9,45.625,56.225,51.5
142,Blochman Union Elementary,55.55,55.55,56.73333333333333,55.944444444444436,59.699999999999996
107,Fort Bragg Unified,61.2,61.2,44.9,55.76666666666667,
236,Ojai Unified,45.05,76.1,46.099999999999994,55.75,50.6
141,Natomas Unified,55.71666666666667,73.575,37.64,55.64388888888889,44.8
208,Vista Unified,48.25555555555556,73.1,45.288888888888884,55.54814814814815,47.4
75,Southern Humboldt Joint Unified,69.0,69.0,28.066666666666666,55.355555555555554,41.4
231,Upland Unified,45.5,70.8,49.58,55.29333333333333,51.800000000000004
159,Riverside Unified,53.127272727272725,67.8,44.75666666666667,55.2279797979798,49.5
200,Napa Valley Unified,49.26666666666666,65.77499999999999,50.285000000000004,55.108888888888885,52.400000000000006
202,Ravendale-Termo Elementary,49.099999999999994,72.3,43.5,54.96666666666666,
270,Mt. Diablo Unified,41.55,70.44,52.90689655172413,54.96563218390804,51.0
118,Trinity Alps Unified,59.7,59.7,45.1,54.833333333333336,
333,Yucaipa-Calimesa Joint Unified,34.06666666666667,78.8,51.137499999999996,54.668055555555554,54.29999999999999
224,Hacienda La Puente Unified,46.966666666666676,65.275,51.68260869565216,54.641425120772944,54.0
355,Tulare County Office Of Education,29.75,88.9,44.4,54.35,36.2
117,Calistoga Joint Unified,60.0,60.0,42.6,54.199999999999996,50.6
98,El Tejon Unified,62.5,62.5,37.3,54.1,52.0
227,Paso Robles Joint Unified,46.46666666666666,64.94999999999999,50.666666666666664,54.02777777777777,51.6
